headword,headword_clean,homonym,grammar,translation,source,raw
БЕ́,БЕ́,,,"ЦIБАГIАЛДУБ/УДЕ (-ума, -ула, -уна, -е) понуд. от бе́ цIбагIалде",Саидова 2019 — Андалальский диалект,"ЦIБАГIАЛДУБ/УДЕ (-ума, -ула, -уна, -е) понуд. от бе́ цIбагIалде"
БЕ́,БЕ́,,,"ЦIБАГIАЛЛИ 1. масд.гл. бе́ цIбагIалде 2. (-ялълъ, -ялълъул) тёмно-красный, бордовый цвет",Саидова 2019 — Андалальский диалект,"ЦIБАГIАЛЛИ 1. масд.гл. бе́ цIбагIалде 2. (-ялълъ, -ялълъул) тёмно-красный, бордовый цвет"
БЕ́,БЕ́,,,ЦIБАГIАРАБ тёмно-красный,Саидова 2019 — Андалальский диалект,ЦIБАГIАРАБ тёмно-красный; бордовый; бецIбагIараб квархьи платок бордового цвета; бецIбагIарал куби бордовые нитки; бецIбагIараб кьер тёмно-красный цвет
БЕ́,БЕ́,,,"ЦIГО нареч. темно, мрачно",Саидова 2019 — Андалальский диалект,"ЦIГО нареч. темно, мрачно; покьоб бецIго буго в хлеву темно; къотIноб бецIго буана на улице было темно"
БЕ́,БЕ́,,,ЦIГIУРЧЧИНАБ тёмно-зеленый,Саидова 2019 — Андалальский диалект,ЦIГIУРЧЧИНАБ тёмно-зеленый; бецIгIурччинаб чухтIу тёмно-зеленого цвета чохто (головной убор)
БЕ́,БЕ́,,,"ЦIГIУРЧЧИН/ДЕ (-лама, -ла, -лана, -ле) становиться, стать темнозеленым, позеленеть",Саидова 2019 — Андалальский диалект,"ЦIГIУРЧЧИН/ДЕ (-лама, -ла, -лана, -ле) становиться, стать темнозеленым, позеленеть; ххан бецIгIурччиндегIан белгьде ткань покрасить до темно-зеленого цвета"
БЕ́,БЕ́,,,"ЦIГIУРЧЧИНДУБ/УДЕ (-ума, -ула, -уна, -е) понуд. от бе́ цIгIурччинде",Саидова 2019 — Андалальский диалект,"ЦIГIУРЧЧИНДУБ/УДЕ (-ума, -ула, -уна, -е) понуд. от бе́ цIгIурччинде"
БЕ́,БЕ́,,,"ЦIГIУРЧЧИНЛИ 1. масд. гл. бе́ цIгIурччинде 2. (-ялълъ, -ялълъул) темно-зеленый цвет",Саидова 2019 — Андалальский диалект,"ЦIГIУРЧЧИНЛИ 1. масд. гл. бе́ цIгIурччинде 2. (-ялълъ, -ялълъул) темно-зеленый цвет"
БЕ́,БЕ́,,,"ЦI/ДЕ1 (-ама, -ла, -ана, -е) 1) (по)гасить, погашать; возместить, возмещать; кьороб хутIараб как бецIун баде совершить пропущенный намаз; налгьи бецIде погасить долг 2) воздать должное, отблагодарить; лълъикIли бецIде воздать должное за добро 3) мстить; сводить счеты; кушли бецIде мстить за совершенное кем-л. зло;",Саидова 2019 — Андалальский диалект,"ЦI/ДЕ1 (-ама, -ла, -ана, -е) 1) (по)гасить, погашать; возместить, возмещать; кьороб хутIараб как бецIун баде совершить пропущенный намаз; налгьи бецIде погасить долг 2) воздать должное, отблагодарить; лълъикIли бецIде воздать должное за добро 3) мстить; сводить счеты; кушли бецIде мстить за совершенное кем-л. зло; кд. бе́ цIизе"
БЕ́,БЕ́,,,"ЦI/ДЕ2 (-лама, -ла, -лана, -ле) (по)темнеть, погружаться во мрак; (по)мрачнеть; дуйнал бецIде байбихьана смеркается, начало темнеть; дуйнал бецIдагIан дотемна, до наступления темноты; бецIлукь в темноте; зоб бецIлана небо потемнело, небо нахмурилось;",Саидова 2019 — Андалальский диалект,"ЦI/ДЕ2 (-лама, -ла, -лана, -ле) (по)темнеть, погружаться во мрак; (по)мрачнеть; дуйнал бецIде байбихьана смеркается, начало темнеть; дуйнал бецIдагIан дотемна, до наступления темноты; бецIлукь в темноте; зоб бецIлана небо потемнело, небо нахмурилось; кд. бе́ цIлизе, суг. бе́ цIлъде, сал. бе́ цIлиде"
БЕ́,БЕ́,,,"ЦIДУБ/УДЕ1 (-ума, -ула, -уна, -е) понуд. заставлять, заставить, принуждать, принудить кого-л. возмещать, возместить, погашать, погасить чтол.",Саидова 2019 — Андалальский диалект,"ЦIДУБ/УДЕ1 (-ума, -ула, -уна, -е) понуд. заставлять, заставить, принуждать, принудить кого-л. возмещать, возместить, погашать, погасить чтол.; ккараб зарал бецIдубуде заставить возмещать нанесенный ущерб; налгьи бецIде принуждать возмещать долг"
БЕ́,БЕ́,,,"ЦIДУБ/УДЕ (//БЕ́ ЦIЛДУБУДЕ)2 (-ума, -ула, -уна, -е) понуд. 1) затемнять, затемнить, (с)делать темным что-л.",Саидова 2019 — Андалальский диалект,"ЦIДУБ/УДЕ (//БЕ́ ЦIЛДУБУДЕ)2 (-ума, -ула, -уна, -е) понуд. 1) затемнять, затемнить, (с)делать темным что-л.; загораживать свет; рокъ бецIдубуде затемнить комнату 2) содействовать погашению, возмещению долга"
БЕ́,БЕ́,,,"ЦIИ 1. масд. гл. бе́ цIде 2. (-ялълъ, -ялълъул) возмещение, погашение (долга)",Саидова 2019 — Андалальский диалект,"ЦIИ 1. масд. гл. бе́ цIде 2. (-ялълъ, -ялълъул) возмещение, погашение (долга)"
БЕ́,БЕ́,,,"ЦIККАРАБ темноватый, мрачноватый",Саидова 2019 — Андалальский диалект,"ЦIККАРАБ темноватый, мрачноватый; бецIккараб кьер темноватый цвет"
БЕ́,БЕ́,,,"ЦIЛИ 1. масд.гл. бе́ цIде (//бе́ цIлде) 2. (-ялълъ, -ялълъул) 1) тьма, темнота; мрак; темень; сардил бецIли ночная тьма; бецIлукь в темноте;",Саидова 2019 — Андалальский диалект,"ЦIЛИ 1. масд.гл. бе́ цIде (//бе́ цIлде) 2. (-ялълъ, -ялълъул) 1) тьма, темнота; мрак; темень; сардил бецIли ночная тьма; бецIлукь в темноте; суг., об., бух., куд. бе́ цIлъи"
БЕ́,БЕ́,,,ЦIХАХIИЛАБ темно-синий; бецIхахIилаб квархьи темно-синий платок; бецIхахIилаб релгьен темносиняя краска;,Саидова 2019 — Андалальский диалект,"ЦIХАХIИЛАБ темно-синий; бецIхахIилаб квархьи темно-синий платок; бецIхахIилаб релгьен темносиняя краска; куд., сал. хъахIѝлаб, бух. хъихIѝлаб"
БЕ́,БЕ́,,,"ЦIХАХIИЛ/ДЕ (-лама, -ла, -лана, -ле) становиться, стать темно-синим",Саидова 2019 — Андалальский диалект,"ЦIХАХIИЛ/ДЕ (-лама, -ла, -лана, -ле) становиться, стать темно-синим"
БЕ́,БЕ́,,,"ЦIХАХIИЛДУБ/УДЕ (-ума, -ула, -уна, -е) понуд. от бе́ цIхахIилде",Саидова 2019 — Андалальский диалект,"ЦIХАХIИЛДУБ/УДЕ (-ума, -ула, -уна, -е) понуд. от бе́ цIхахIилде"
БЕ́,БЕ́,,,"ЦIХАХIИЛЛИ 1. масд. гл. бе́ цIхахIилде 2. (-ялълъ, -ялълъул) тёмно-синий цвет",Саидова 2019 — Андалальский диалект,"ЦIХАХIИЛЛИ 1. масд. гл. бе́ цIхахIилде 2. (-ялълъ, -ялълъул) тёмно-синий цвет"
БЕ́,БЕ́,,,ЦIЦIИХIИЛАБ тёмно-серый,Саидова 2019 — Андалальский диалект,ЦIЦIИХIИЛАБ тёмно-серый; бецIцIихIилаб кьералълъул хIимил кIерт осленок тёмно-серого цвета
БЕ́,БЕ́,,,"ЦIЦIИХIИЛ/ДЕ (-лама, -ла, -лана, -ле) становиться, стать тёмносерым",Саидова 2019 — Андалальский диалект,"ЦIЦIИХIИЛ/ДЕ (-лама, -ла, -лана, -ле) становиться, стать тёмносерым"
БЕ́,БЕ́,,,"ЦIЦIИХIИЛДУБ/УДЕ (-ума, -ула, -уна, -е) понуд. от бе́ цIцIихIилде",Саидова 2019 — Андалальский диалект,"ЦIЦIИХIИЛДУБ/УДЕ (-ума, -ула, -уна, -е) понуд. от бе́ цIцIихIилде"
БЕ́,БЕ́,,,"ЦIЦIИХIИЛЛИ 1. масд. гл. бе́ цIцIихIилде 2. (-ялълъ, -ялълъул) тёмно-серый цвет",Саидова 2019 — Андалальский диалект,"ЦIЦIИХIИЛЛИ 1. масд. гл. бе́ цIцIихIилде 2. (-ялълъ, -ялълъул) тёмно-серый цвет"
БЕ́,БЕ́,,,"ЦIЦI/ДЕ (-ама, -ла, -ана, -е) капать; сочиться, просачиваться; стекать, стечь; риди бецIцIун лълъугIдегIан цIцIведе выжать, (творог) пока просочится вся сыворотка;",Саидова 2019 — Андалальский диалект,"ЦIЦI/ДЕ (-ама, -ла, -ана, -е) капать; сочиться, просачиваться; стекать, стечь; риди бецIцIун лълъугIдегIан цIцIведе выжать, (творог) пока просочится вся сыворотка; кд. бе́ цIцIизе, гам. бе́ цIцIзе"
БЕ́,БЕ́,,,"ЦIЦIДУБ/УДЕ (-ума, -ула, -уна, -е) понуд. от бе́ цIцIде процеживать, процедить",Саидова 2019 — Андалальский диалект,"ЦIЦIДУБ/УДЕ (-ума, -ула, -уна, -е) понуд. от бе́ цIцIде процеживать, процедить"
БЕ́,БЕ́,,,"ЦIЦIИ 1. масд. гл. бе́ цIцIде 2. (-ялълъ, -ялълъул) просачивание",Саидова 2019 — Андалальский диалект,"ЦIЦIИ 1. масд. гл. бе́ цIцIде 2. (-ялълъ, -ялълъул) просачивание; стекание; капание; оморасса лълъин бецIцIи чIчIедубуде кIвана удалось остановить просачивание воды с крыши"
БЕЧЕ́,БЕЧЕ́,,"(бичѝд, бичѝл, бача́ л)",зоол. 1) телёнок,Саидова 2019 — Андалальский диалект,"(бичѝд, бичѝл, бача́ л) зоол. 1) телёнок; гIакаяб бече телёноксамка; оцаб бече телёнок-самец; гьагIил бараб бече годовалый телёнок; гIакдад бече гьубуна корова отелилась; бичил гьан телятина; бачазул рехьед стадо телят; бачазул рохьдохан пастух, пасущий телят, пастух телячьего стада 2) перен. наивный, глупенький человек; добряк; бече гIадинав жо вуго эв он просто телёнок, он безвредный, наивный человек"
БЕЧЕ́,БЕЧЕ́,,,"Д (бича́ сс, бича́ ссул) рел. Бог, творец",Саидова 2019 — Андалальский диалект,"Д (бича́ сс, бича́ ссул) рел. Бог, творец; бичасс биччани если Бог даст; бичасс цIуниги боже упаси; бичассул къадар судьба"
БЕЧЕ́,БЕЧЕ́,,,"ГО нареч. богато, состоятельно, зажиточно",Саидова 2019 — Андалальский диалект,"ГО нареч. богато, состоятельно, зажиточно; в достатке; бечего гIуму тIанде жить в достатке; гIагарал чи бечего руго родственники живут богато; гьинчче дун бечего гьечIо сейчас я не богат"
БЕЧЕ́,БЕЧЕ́,,,"Л/ДЕ (-лама, -ла, -лана, -ле) 1) (раз)богатеть, становиться богатым, состоятельным, зажиточным, имущим; обогащаться, обогатиться, наживаться; бечелде бокьини, хIалтте ккама если хочешь разбогатеть, надо трудиться; мадугьал гъалпуз бичун бечеллана сосед разбогател от продажи арбузов;",Саидова 2019 — Андалальский диалект,"Л/ДЕ (-лама, -ла, -лана, -ле) 1) (раз)богатеть, становиться богатым, состоятельным, зажиточным, имущим; обогащаться, обогатиться, наживаться; бечелде бокьини, хIалтте ккама если хочешь разбогатеть, надо трудиться; мадугьал гъалпуз бичун бечеллана сосед разбогател от продажи арбузов; кд. бече́ лизе, суг. бече́ лъде"
БЕЧЕ́,БЕЧЕ́,,,"ЛДУБ/УДЕ (-ума, -ула, -уна, -е) понуд. 1) (с)делать кого-что-л. богатым, состоятельным, зажиточным",Саидова 2019 — Андалальский диалект,"ЛДУБ/УДЕ (-ума, -ула, -уна, -е) понуд. 1) (с)делать кого-что-л. богатым, состоятельным, зажиточным; обогащать, обогатить кого-что-л.; вас бечелдувуде делать сына богатым, состоятельным; жундерго магIишат бечелдубуде обогатить своё хозяйство 2) перен. обогащать, делать более богатым; мацIцI бечелдубуде обогатить язык"
БЕЧЕЛЛИ,БЕЧЕЛЛИ,,,"1. масд. гл. бече́ лде 2. (-ялълъ, -ялълъул) богатство, состояние; бокьарав чияссда кIумаро бечеллиги мискIинлиги хIуккуде не каждый способен терпеть богатство или бедность; кулак гьурумалълъул кинабго бечелли кудисса бахун вана при раскулачивании конфисковали всё имущество (богатство); бищун кIудаб бечелли буго – цIцIали самое большое богатство – это образование (учеба);",Саидова 2019 — Андалальский диалект,"1. масд. гл. бече́ лде 2. (-ялълъ, -ялълъул) богатство, состояние; бокьарав чияссда кIумаро бечеллиги мискIинлиги хIуккуде не каждый способен терпеть богатство или бедность; кулак гьурумалълъул кинабго бечелли кудисса бахун вана при раскулачивании конфисковали всё имущество (богатство); бищун кIудаб бечелли буго – цIцIали самое большое богатство – это образование (учеба); хин., кд. бо́ цци, бух. бече́ дли, суг. бе́ челъи, бо́ цIцIи"
БЕЧЕМА́,БЕЧЕМА́,,,"ХIА/Б наивный, беспомощный, мягкотелый",Саидова 2019 — Андалальский диалект,"ХIА/Б наивный, беспомощный, мягкотелый; бечемахIав чи мягкотелый человек (букв. человек как телёнок)"
БЕЧЕ́,БЕЧЕ́,,,"ЯБ 1) богатый, состоятельный, зажиточный, имущий",Саидова 2019 — Андалальский диалект,"ЯБ 1) богатый, состоятельный, зажиточный, имущий; бечеяб гIумру зажиточная жизнь; бечеяв чи богатый человек; бечеяб рокъ богатый дом; бечеяй бахIарай богатая невеста; бечеял бахIарал а) богатые молодожёны б) богатая свадьба 2) обильный; бечеяб гIодобчIчIей обильное застолье 3) благодатный; бечеяб ракь а) благодатный край б) благодатная земля; в говорах – бече́ даб"
БЕ́,БЕ́,,,ЧЧАРАБ забродивший,Саидова 2019 — Андалальский диалект,ЧЧАРАБ забродивший; заквашенный; дрожжевой; беччараб чагъир забродившее вино; беччараб чед хлеб из дрожжевого теста
БЕЧЧА́,БЕЧЧА́,,,"Р/ДЕ (-ама, -ла, -ана, -е) многокр. бродить",Саидова 2019 — Андалальский диалект,"Р/ДЕ (-ама, -ла, -ана, -е) многокр. бродить; чIагIа беччарув буго буза бродит; буцараб ролълъ беччарув буго тесто бродит (на дрожжах)"
БЕЧЧА́,БЕЧЧА́,,,"РДУБ/УДЕ (-ума, -ула, -уна, -е) понуд. от многокр. гл. бечча́ рде",Саидова 2019 — Андалальский диалект,"РДУБ/УДЕ (-ума, -ула, -уна, -е) понуд. от многокр. гл. бечча́ рде"
БЕЧЧА́,БЕЧЧА́,,,"РИ 1. масд. многокр. гл. бечча́ рде 2. (-ялълъ, -ялълъул) брожение",Саидова 2019 — Андалальский диалект,"РИ 1. масд. многокр. гл. бечча́ рде 2. (-ялълъ, -ялълъул) брожение; закваска"
БЕ́,БЕ́,,,"ЧЧ/ДЕ (-ама, -ла, -ана, -е) бродить; кваситься; подходить, подниматься (о тесте); буцараб ролълъ беччде тон буго тесто оставлено для брожения; чIагIа жеги беччув буго буза пока ещё бродит; бечччIаб чед пресный, недрожжевой хлеб;",Саидова 2019 — Андалальский диалект,"ЧЧ/ДЕ (-ама, -ла, -ана, -е) бродить; кваситься; подходить, подниматься (о тесте); буцараб ролълъ беччде тон буго тесто оставлено для брожения; чIагIа жеги беччув буго буза пока ещё бродит; бечччIаб чед пресный, недрожжевой хлеб; кд. бе́ ччизе"
БЕ́,БЕ́,,,"ЧЧДУБ/УДЕ (-ума, -ула, -уна, -е) понуд. от бе́ ччде давать, дать чему-л. бродить, вызвать брожение",Саидова 2019 — Андалальский диалект,"ЧЧДУБ/УДЕ (-ума, -ула, -уна, -е) понуд. от бе́ ччде давать, дать чему-л. бродить, вызвать брожение; заквашивать, заквасить; чIагIа беччдубуде дать закваситься бузе"
БЕ́,БЕ́,,,"ЧЧИ 1. масд. гл. бе́ ччде 2. (-ялълъ, -ялълъул) брожение",Саидова 2019 — Андалальский диалект,"ЧЧИ 1. масд. гл. бе́ ччде 2. (-ялълъ, -ялълъул) брожение; закваска"
БЕЧIЧIА́,БЕЧIЧIА́,,,"Р/ДЕ (-ама, -ла, -ана, -е) многокр. заниматься дойкой",Саидова 2019 — Андалальский диалект,"Р/ДЕ (-ама, -ла, -ана, -е) многокр. заниматься дойкой"
БЕЧIЧIА́,БЕЧIЧIА́,,,"РИ 1. масд. многокр. гл. бечIчIа́ рде 2. (-ялълъ, -ялълъул) дойка",Саидова 2019 — Андалальский диалект,"РИ 1. масд. многокр. гл. бечIчIа́ рде 2. (-ялълъ, -ялълъул) дойка"
БЕ́,БЕ́,,,"ЧIЧI/ДЕ (-ама, -ла, -ана, -е) (по)доить; надоить чего-л.; гIака бечIчIде доить корову; гIи бечIчIде подоить овец; бечIчIув гIака дойная корова;",Саидова 2019 — Андалальский диалект,"ЧIЧI/ДЕ (-ама, -ла, -ана, -е) (по)доить; надоить чего-л.; гIака бечIчIде доить корову; гIи бечIчIде подоить овец; бечIчIув гIака дойная корова; кд. бе́ ччизе, хин. бе́ ччде"
БЕ́,БЕ́,,,"ЧIЧIДУБ/УДЕ (-ума, -ула, -уна, -е) понуд. попросить или заставить (по)доить кого-л.",Саидова 2019 — Андалальский диалект,"ЧIЧIДУБ/УДЕ (-ума, -ула, -уна, -е) понуд. попросить или заставить (по)доить кого-л.; гIака бечIчIдубуде попросить подоить корову; цIцIе бечIчIдубуде заставить подоить козу"
БЕ́,БЕ́,,,"ЧIЧIИ 1. масд. гл. бе́ чIчIде 2. (-ялълъ, -ялълъул) дойка",Саидова 2019 — Андалальский диалект,"ЧIЧIИ 1. масд. гл. бе́ чIчIде 2. (-ялълъ, -ялълъул) дойка; гIака бечIчIи захIматаб жо гуро дойка коровы нетрудное дело"
БЕЭ́,БЕЭ́,,,"Д/Е (-ама, -ла, -ана, -е) многокр. целоваться",Саидова 2019 — Андалальский диалект,"Д/Е (-ама, -ла, -ана, -е) многокр. целоваться; адамазда ццере беэде ракъамаро некрасиво целоваться при людях"
БЕЭ́,БЕЭ́,,,"ДИ (-ялълъ, -ялълъул) поцелуи",Саидова 2019 — Андалальский диалект,"ДИ (-ялълъ, -ялълъул) поцелуи; целование"
БЕЭ́,БЕЭ́,,,НАБ 1) жирный,Саидова 2019 — Андалальский диалект,"НАБ 1) жирный; беэнаб квен жирная пища 2) тучный, удобренный, унавоженный (о почве); беэнаб ракь тучная земля; беэнаб хIур удобренная пашня"
БЕЭ́,БЕЭ́,,,"Н/ДЕ (-лама, -ла, -лана, -ле) 1) быть, стать жирным",Саидова 2019 — Андалальский диалект,"Н/ДЕ (-лама, -ла, -лана, -ле) 1) быть, стать жирным; пула гIемер беэнлана плов стал очень жирным 2) быть, стать тучным, удобренным (о почве)"
БЕЭ́,БЕЭ́,,,"НДУБ/УДЕ понуд. (-ума, -ула, -уна, -е) 1) (с)делать жирным 2) удобрять",Саидова 2019 — Андалальский диалект,"НДУБ/УДЕ понуд. (-ума, -ула, -уна, -е) 1) (с)делать жирным 2) удобрять; ракь беэндубуде удобрять землю"
БЕЭ́,БЕЭ́,,,"НЛИ (//БЕЭ́ ННИ) 1. масд. гл. беэ́ нде 2. (-ялълъ, -ялълъул) 1) жирность 2) жир; беэнли гьечIаб квен нежирная пища;",Саидова 2019 — Андалальский диалект,"НЛИ (//БЕЭ́ ННИ) 1. масд. гл. беэ́ нде 2. (-ялълъ, -ялълъул) 1) жирность 2) жир; беэнли гьечIаб квен нежирная пища; суг., об. беэ́ нлъи"
БЕЭ́,БЕЭ́,,,"/ТТЕ (-дама, -лла, -дана, -де) обласкать, лелеять",Саидова 2019 — Андалальский диалект,"/ТТЕ (-дама, -лла, -дана, -де) обласкать, лелеять"
БИ1,БИ,1,"(-д, -дул, -ял)",кровь,Саидова 2019 — Андалальский диалект,"(-д, -дул, -ял) кровь; хвараб куйдул би кровь заколотого барана; би баккде кровоточить; бидул анализ анализ крови; бидул кьер цвет крови; би бахде брать кровь (для анализа); би бетана кровь свернулась; би гIодоб тIеде проливать кровь; би дагьли малокровие, анемия; бидул кьапIи пульс; бидул хIер лужа крови; бидух би кровь за кровь; бидул тушман кровный враг"
БИ2,БИ,2,"(-ялълъ, -ялълъул)",би (вторая буква арабского алфавита),Саидова 2019 — Андалальский диалект,"(-ялълъ, -ялълъул) би (вторая буква арабского алфавита); алипалълъ таниги, биялълъ тиларо если один бросит, другой не оставит (букв. если бросит «а», не бросит «би»)"
БИАГРА́,БИАГРА́,,,"ПИЯ (-лълъ, -лълъул, -би) биография",Саидова 2019 — Андалальский диалект,"ПИЯ (-лълъ, -лълъул, -би) биография; биаграпия хваде написать биографию"
БИ́АРАБ/НАХI,БИ́АРАБ/НАХI,,(//БИ́АРНАХI),"(-нухуд, -нухIул) топленое масло; биарнухIулълъ бежде жарить на топленом масле;",Саидова 2019 — Андалальский диалект,"(//БИ́АРНАХI) (-нухуд, -нухIул) топленое масло; биарнухIулълъ бежде жарить на топленом масле; руг., кд., куд. нагь"
БИА́,БИА́,,,"Р/ДЕ (-ама, -ла, -ана, -е) многокр. таять; ихдал гIазу биарде байбихьана весной снег начал таять;",Саидова 2019 — Андалальский диалект,"Р/ДЕ (-ама, -ла, -ана, -е) многокр. таять; ихдал гIазу биарде байбихьана весной снег начал таять; кд. биа́ ризе"
БИА́,БИА́,,,"РИ 1. масд. многокр. гл. биа́ рде 2. (-ялълъ, -ялълъул) таяние (снега)",Саидова 2019 — Андалальский диалект,"РИ 1. масд. многокр. гл. биа́ рде 2. (-ялълъ, -ялълъул) таяние (снега)"
БИБЛИАТЕ́,БИБЛИАТЕ́,,,"КА (-ялълъ, -ялълъул, -би) библиотека",Саидова 2019 — Андалальский диалект,"КА (-ялълъ, -ялълъул, -би) библиотека; библиатекалълъа хIалтте работать в библиотеке; библиатекалълъ(а) венде сходить в библиотеку; библиатекасса эхь босде брать книгу из библиотеки"
БИБЛИАТЕ́,БИБЛИАТЕ́,,,"КАР (-асс//-алълъ, -ассул//-алълъул, -ал) библиотекарь",Саидова 2019 — Андалальский диалект,"КАР (-асс//-алълъ, -ассул//-алълъул, -ал) библиотекарь"
БИБЛИАТЕ́,БИБЛИАТЕ́,,,"КАРЛИ (-ялълъ, -ялълъул) работа, занятие библиотекаря",Саидова 2019 — Андалальский диалект,"КАРЛИ (-ялълъ, -ялълъул) работа, занятие библиотекаря; библиатекарли гьубуде работать библиотекарем"
БИБЛИАТЕ́,БИБЛИАТЕ́,,,КА(Я)ЛЪЛЪУЛ 1. род.п. от библиате́ ка 2. библиотечный,Саидова 2019 — Андалальский диалект,КА(Я)ЛЪЛЪУЛ 1. род.п. от библиате́ ка 2. библиотечный; библиатекалълъул эхь библиотечная книга
БИГА́,БИГА́,,,"ВУЛ (-асс, -ассул, -заби) уст. старшина аула; бигавул вищде избрать старшину аула; бигавулассул кумакчи помощник старшины аула;",Саидова 2019 — Андалальский диалект,"ВУЛ (-асс, -ассул, -заби) уст. старшина аула; бигавул вищде избрать старшину аула; бигавулассул кумакчи помощник старшины аула; сал. бега́ вул, кд. бега́ вол"
БИГА́,БИГА́,,,"ВУЛЛИ (-ялълъ, -ялълъул) уст. должность старшины аула",Саидова 2019 — Андалальский диалект,"ВУЛЛИ (-ялълъ, -ялълъул) уст. должность старшины аула; бигавулли гьубуде работать старшиной аула"
БИ́ГДЕ,БИ́ГДЕ,,,суг. ухудшаться (о погоде),Саидова 2019 — Андалальский диалект,суг. ухудшаться (о погоде)
БИ́ГЪ/ДЕ,БИ́ГЪ/ДЕ,,"(-ама, -ла, -ана, -е)","1) нарывать, осложниться (о ране) 2) занавесить (чем-то лёгким)",Саидова 2019 — Андалальский диалект,"(-ама, -ла, -ана, -е) 1) нарывать, осложниться (о ране) 2) занавесить (чем-то лёгким); гордиб хьвари бигъде занавесить окно кружевом"
БИГЬ,БИГЬ,,"(-ѝд, -ѝл)",бот. айва,Саидова 2019 — Андалальский диалект,"(-ѝд, -ѝл) бот. айва; бигьил варени айвовое варенье; бигьил гъветI чIчIеде посадить айвовое дерево"
БИГЬА-БИХА́,БИГЬА-БИХА́,,,ГО нареч. так легко,Саидова 2019 — Андалальский диалект,ГО нареч. так легко; бигьа-бихаго убав хIалтIи гуро гьеб эту работу так легко не выполнишь; бигьа-бихаго асса вихьларо гьев так легко не избавишься от него; бигьабихаго гьадубумаро гьеб мацIцI так легко не изучают этот язык
БИГЬА-БИХА́,БИГЬА-БИХА́,,,ЯБ 1) не так уж лёгкий,Саидова 2019 — Андалальский диалект,ЯБ 1) не так уж лёгкий; бигьа-бихаяб иш гуро гьеб не такое уж лёгкое это дело 2) не очень трудный; цо бигьа-бихаяб хIалтIи кьуна дихе поручили мне не очень трудную работу
БИГЬА́,БИГЬА́,,,"Л/ДЕ (-лама, -ла, -лана, -ле) облегчаться, становиться (стать) лёгким (нетрудным); хIалтIи бигьаллана работа стала нетрудной;",Саидова 2019 — Андалальский диалект,"Л/ДЕ (-лама, -ла, -лана, -ле) облегчаться, становиться (стать) лёгким (нетрудным); хIалтIи бигьаллана работа стала нетрудной; кд. бигьа́ лизе, суг. бигьа́ лъде, ост. бигьа́ лде"
БИГЬА́,БИГЬА́,,,"ЛДУБ/УДЕ (-ума, -ула, -уна, -е) понуд. облегчить что-л.",Саидова 2019 — Андалальский диалект,"ЛДУБ/УДЕ (-ума, -ула, -уна, -е) понуд. облегчить что-л.; тамихI бигьалдубуде облегчить наказание; хIалтIи бигьалдубуде облегчить работу"
БИГЬА́,БИГЬА́,,,"ЛЛИ 1. масд. гл. бигьалде 2. (-ялълъ, -ялълъул) 1) лёгкость; хIалтIул бигьалли лёгкость работы 2) облегчение; дару къарасса наха бигьалли ккана после приёма лекарства наступило облегчение;",Саидова 2019 — Андалальский диалект,"ЛЛИ 1. масд. гл. бигьалде 2. (-ялълъ, -ялълъул) 1) лёгкость; хIалтIул бигьалли лёгкость работы 2) облегчение; дару къарасса наха бигьалли ккана после приёма лекарства наступило облегчение; суг. бигьа́ лъи, куд., хин. бигьа́ лти"
БИГЬА́,БИГЬА́,,,"Р/ДЕ (-ама, -ла, -ана, -е) многокр. передавать, подавать, протягивать, всовывать что-л.",Саидова 2019 — Андалальский диалект,"Р/ДЕ (-ама, -ла, -ана, -е) многокр. передавать, подавать, протягивать, всовывать что-л."
БИГЬА́,БИГЬА́,,,"РДУБ/УДЕ (-ума, -ула, -уна, -е) понуд. от бигьа́ рде",Саидова 2019 — Андалальский диалект,"РДУБ/УДЕ (-ума, -ула, -уна, -е) понуд. от бигьа́ рде"
БИГЬА́,БИГЬА́,,,"РИ1 1. масд. многокр. гл. бигьа́ рде 2. (-ялълъ, -ялълъул) подача, передача, протягивание",Саидова 2019 — Андалальский диалект,"РИ1 1. масд. многокр. гл. бигьа́ рде 2. (-ялълъ, -ялълъул) подача, передача, протягивание; бигьари гIемеллун буго передачи участились"
БИГЬА́,БИГЬА́,,,"РИ2 (-д, -дул) бот. тополь;",Саидова 2019 — Андалальский диалект,"РИ2 (-д, -дул) бот. тополь; кег., сал. бигьа́ ро"
БИГЬА́,БИГЬА́,,,РИДУЛ 1. род.п. от бигьа́ ри 2. тополиный,Саидова 2019 — Андалальский диалект,РИДУЛ 1. род.п. от бигьа́ ри 2. тополиный; бигьаридул хIули тополиный пух
БИГЬА́,БИГЬА́,,,ЯБ лёгкий; нетрудный; бигьаяб масъала лёгкая задача; бигьаяб хIалтIи лёгкая работа;,Саидова 2019 — Андалальский диалект,"ЯБ лёгкий; нетрудный; бигьаяб масъала лёгкая задача; бигьаяб хIалтIи лёгкая работа; руг., кег., кд., хин. пигьа́ яб, суг. бигьа́ б"
БИ́ГЬ/ДЕ1,БИ́ГЬ/ДЕ,1,"(-ама, -ла, -ана, -а)",быть (стать) вероятным (возможным); бигьама можно; бигьамаро нельзя;,Саидова 2019 — Андалальский диалект,"(-ама, -ла, -ана, -а) быть (стать) вероятным (возможным); бигьама можно; бигьамаро нельзя; кд. бе́ гьизе, кег., руг., суг., бух., сал., хин. бе́ гьде"
